"type","cover","cover_en","miniapp_path","miniapp_appid","web_url","status","order","draft","created_at","updated_at","created_by","id","_read_perm","_write_perm"
"index_h5","https://img.freepik.com/free-photo/panoramic-shot-dirt-path-middle-field-with-silhouette-mountains-dusk_181624-16609.jpg?w=1380","https://img.freepik.com/free-photo/panoramic-shot-dirt-path-middle-field-with-silhouette-mountains-dusk_181624-16609.jpg?w=1380","","","https://vpun6b.axshare.com/#id=nfvekw","published","1","{""cover"": ""https://img.freepik.com/free-photo/panoramic-shot-dirt-path-middle-field-with-silhouette-mountains-dusk_181624-16609.jpg?w=1380"", ""cover_en"": ""https://img.freepik.com/free-photo/panoramic-shot-dirt-path-middle-field-with-silhouette-mountains-dusk_181624-16609.jpg?w=1380"", ""web_url"": ""https://vpun6b.axshare.com/#id=nfvekw"", ""order"": 1, ""type"": ""index_h5""}","1646898382","1648630164","87527685","6229accecfc972041c4c020e","[""user:anonymous""]","[""gid:5896""]"
"index_miniapp","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nXIgmw1kgz608WH.jpg","https://img.freepik.com/free-photo/green-sofa-white-living-room-with-free-space_43614-834.jpg?w=1380","/pages/reservation/index?id=624d71a023f88327dcc36df8","","","published","1","{""cover"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nXIgmw1kgz608WH.jpg"", ""cover_en"": ""https://img.freepik.com/free-photo/green-sofa-white-living-room-with-free-space_43614-834.jpg?w=1380"", ""miniapp_path"": ""/pages/reservation/index?id=624d71a023f88327dcc36df8"", ""order"": 1, ""type"": ""index_miniapp"", ""miniapp_appid"": """"}","1646898507","1649242551","87527685","6229ad4b0c14d6396083180d","[""user:anonymous""]","[""gid:5896""]"
"index_miniapp","https://img.freepik.com/free-photo/living-room-interior-wall-warm-tones-gray-armchair-with-wood-cabinet-3d-rendering_41470-3656.jpg?w=1380","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqoOqudaKkMj5S.png","","","","published","2","{""cover"": ""https://img.freepik.com/free-photo/living-room-interior-wall-warm-tones-gray-armchair-with-wood-cabinet-3d-rendering_41470-3656.jpg?w=1380"", ""cover_en"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqoOqudaKkMj5S.png"", ""miniapp_path"": """", ""order"": 2, ""type"": ""index_miniapp"", ""miniapp_appid"": """"}","1646898556","1648717796","87527685","6229ad7c25d9852e4841299d","[""user:anonymous""]","[""gid:5896""]"
"index_pc","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nTf1nidgC4QVEge.jpg","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nTf1qppnkkSeU5g.jpg","","","/pages/questionnaire/index","deleted","1","{}","1647242532","1647245114","411709503722338","622eed24ffbf2421953f813c","[""user:anonymous""]","[""gid:5896""]"
"index_pc","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqmF4UUHKNwhmg.png","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqmMecYmXoJRvs.png","","","/pages/questionnaire/index","deleted","1","{""cover"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqmF4UUHKNwhmg.png"", ""cover_en"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqmMecYmXoJRvs.png"", ""order"": 1, ""web_url"": ""/pages/questionnaire/index"", ""type"": ""index_pc""}","1647245585","1648897954","411709503722338","622ef9117b9736240e137fc8","[""user:anonymous""]","[""gid:5896""]"
"index_pc","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqojS4jBj7N3K9.png","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqlylKo7BOawvf.png","","","https://vpun6b.axshare.com/#id=nfvekw&p=%E6%96%B0%E5%A2%9E_%E7%BC%96%E8%BE%91&g=1","deleted","2","{""cover"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqojS4jBj7N3K9.png"", ""cover_en"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqlylKo7BOawvf.png"", ""order"": 2, ""web_url"": ""https://vpun6b.axshare.com/#id=nfvekw&p=%E6%96%B0%E5%A2%9E_%E7%BC%96%E8%BE%91&g=1"", ""type"": ""index_pc""}","1647510226","1648897961","411709503722338","623302d2416ba27fed59a9bc","[""user:anonymous""]","[""gid:5896""]"
"index_pc","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqkT2kXTvH1Maf.png","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqkf2f0u0flwBU.png","","","/reservation?id=6243f74eef1f18141cc8c64a","deleted","3","{""cover"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqkT2kXTvH1Maf.png"", ""cover_en"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZqkf2f0u0flwBU.png"", ""order"": 3, ""web_url"": ""/reservation?id=6243f74eef1f18141cc8c64a"", ""type"": ""index_pc""}","1648108926","1648897956","411709503722338","623c257eb6e8ed5674c35938","[""user:anonymous""]","[""gid:5896""]"
"index_h5","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nXIhzUzoiXZFmCr.jpg","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nXIhM37CtHO1qi9.jpg","","","/reservation?id=6244081f778f4579393eb550","published","2","{""cover"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nXIhzUzoiXZFmCr.jpg"", ""cover_en"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nXIhM37CtHO1qi9.jpg"", ""web_url"": ""/reservation?id=6244081f778f4579393eb550"", ""order"": 2, ""type"": ""index_h5""}","1648110013","1648629744","411709503722338","623c29bd54a97630b2edc6d3","[""user:anonymous""]","[""gid:5896""]"
"index_pc","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nYmRq7GT5gujsEt.jpg","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZsLsulcgcpdgOS.png","","","/reservation?id=62480d44a2a7cc0c3d9b47cf","deleted","8","{""cover"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nYmRq7GT5gujsEt.jpg"", ""cover_en"": ""https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZsLsulcgcpdgOS.png"", ""order"": 8, ""web_url"": ""/reservation?id=62480d44a2a7cc0c3d9b47cf"", ""type"": ""index_pc""}","1648462700","1648897958","411709503722338","62418b6c90656c4675736ca6","[""user:anonymous""]","[""gid:5896""]"
"index_pc","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZjW8bSc1pD41JH.png","https://cloud-minapp-43074.cloud.ifanrusercontent.com/1nZjWZ32h6WUkLjs.png","","","/reservation?id=6244081f778f4579393eb550","deleted","1","","1648612690","1648717696","416642139932038","6243d552dea34349aeeb553d","[""user:anonymous""]","[""gid:5896""]"
